zipcode;Official USPS city name
98585;Silver Creek
98601;Amboy
98675;Yacolt
98801;Wenatchee
98837;Moses Lake
98901;Yakima
98936;Moxee
99155;Nespelem
98006;Bellevue
98024;Fall City
98033;Kirkland
98057;Renton
98122;Seattle
98363;Port Angeles
98527;Bay Center
98662;Vancouver
98831;Manson
98834;Methow
98020;Edmonds
98031;Kent
98058;Renton
98104;Seattle
98223;Arlington
98248;Ferndale
98264;Lynden
98277;Oak Harbor
98305;Beaver
98326;Clallam Bay
98416;Tacoma
98520;Aberdeen
98588;Tahuya
98604;Battle Ground
98819;Conconully
98828;Malaga
98829;Malott
98923;Cowiche
98512;Olympia
98526;Amanda Park
98537;Cosmopolis
98557;Mccleary
98610;Carson
98640;Ocean Park
98665;Vancouver
98849;Riverside
98948;Toppenish
98014;Carnation
98043;Mountlake Terrace
98065;Snoqualmie
98108;Seattle
98168;Seattle
98011;Bothell
98021;Bothell
98232;Bow
98283;Rockport
98297;Waldron
98355;Mineral
98366;Port Orchard
98068;Snoqualmie Pass
98116;Seattle
98335;Gig Harbor
98444;Tacoma
98563;Montesano
98587;Taholah
98612;Cathlamet
99348;Prescott
98051;Ravensdale
98052;Redmond
98126;Seattle
98203;Everett
98360;Orting
98361;Packwood
98364;Port Gamble
98258;Lake Stevens
98294;Sultan
98329;Gig Harbor
98565;Napavine
98671;Washougal
98844;Oroville
98852;Stehekin
98859;Wauconda
98001;Auburn
98166;Seattle
98233;Burlington
98275;Mukilteo
98281;Point Roberts
98282;Camano Island
98424;Fife
98569;Ocean Shores
98582;Salkum
98607;Camas
98616;Cougar
98641;Oysterville
98651;Underwood
98942;Selah
98050;Preston
98075;Sammamish
98092;Auburn
98144;Seattle
98270;Marysville
98340;Hansville
98383;Silverdale
98581;Ryderwood
98674;Woodland
98830;Mansfield
98853;Stratford
98922;Cle Elum
98466;Tacoma
98533;Cinebar
98547;Grayland
98848;Quincy
99359;Starbuck
98010;Black Diamond
98036;Lynnwood
98039;Medina
98087;Lynnwood
98105;Seattle
98207;Everett
98273;Mount Vernon
98274;Mount Vernon
98321;Buckley
98327;Dupont
98332;Gig Harbor
98342;Indianola
98409;Tacoma
98430;Camp Murray
98445;Tacoma
98501;Olympia
98541;Elma
98568;Oakville
98605;Bingen
98638;Naselle
98661;Vancouver
98862;Winthrop
98944;Sunnyside
98003;Federal Way
98022;Enumclaw
98040;Mercer Island
98117;Seattle
98243;Deer Harbor
98267;Marblemount
98284;Sedro Woolley
98315;Silverdale
98349;Lakebay
98370;Poulsbo
98056;Renton
98115;Seattle
98155;Seattle
98251;Gold Bar
98260;Langley
98278;Oak Harbor
98371;Puyallup
98513;Olympia
98538;Curtis
98548;Hoodsport
98552;Humptulips
98558;Mckenna
98560;Matlock
98632;Longview
98813;Bridgeport
98902;Yakima
98939;Parker
98154;Seattle
98208;Everett
98220;Acme
98244;Deming
98362;Port Angeles
98387;Spanaway
98499;Lakewood
98532;Chehalis
98536;Copalis Crossing
98570;Onalaska
98590;Tokeland
98611;Castle Rock
98619;Glenwood
98620;Goldendale
98629;La Center
98663;Vancouver
98851;Soap Lake
98932;Granger
98937;Naches
98947;Tieton
98002;Auburn
98037;Lynnwood
98042;Kent
98055;Renton
98119;Seattle
98222;Blakely Island
98226;Bellingham
98238;Conway
98247;Everson
98312;Bremerton
98350;La Push
98356;Morton
98382;Sequim
98564;Mossyrock
98579;Rochester
99033;Tekoa
98030;Kent
98102;Seattle
98239;Coupeville
98276;Nooksack
98353;Manchester
98368;Port Townsend
98422;Tacoma
98498;Lakewood
98516;Olympia
98572;Pe Ell
98580;Roy
98584;Shelton
98602;Appleton
98670;Wahkiacus
98672;White Salmon
98817;Chelan Falls
98005;Bellevue
98012;Bothell
98077;Woodinville
98106;Seattle
98112;Seattle
98195;Seattle
98198;Seattle
98303;Anderson Island
98576;Rainier
98647;Skamokawa
98812;Brewster
98841;Omak
98045;North Bend
98072;Woodinville
98121;Seattle
98296;Snohomish
98331;Forks
98358;Nordland
98372;Puyallup
98438;Mcchord Afb
98524;Allyn
98531;Centralia
98575;Quinault
98624;Ilwaco
98625;Kalama
98642;Ridgefield
98683;Vancouver
98845;Palisades
98930;Grandview
98951;Wapato
